log_id,user_id,action,resource,timestamp,purpose_of_use,result
L0000053,U0055,SCORE,patient,2021-11-02 02:24:48,population_health,success
L0000054,U0073,READ,observation,2022-12-15 07:17:42,governance,success
L0000055,U0072,READ,condition,2025-08-20 20:59:24,research,success
L0000056,U0069,READ,observation,2024-06-13 01:10:25,population_health,success
L0000057,U0009,READ,model,2022-09-19 04:18:52,governance,success
L0000058,U0018,READ,outcome,2023-05-21 22:14:12,research,success
L0000059,U0084,READ,model,2020-04-24 06:39:47,population_health,denied
L0000060,U0077,READ,model,2019-11-09 14:43:27,governance,success
L0000061,U0097,READ,medication,2019-09-07 07:35:13,population_health,success
L0000062,U0017,READ,observation,2024-10-07 16:11:09,population_health,success
L0000063,U0006,READ,patient,2025-03-12 00:47:43,population_health,error
L0000064,U0070,READ,condition,2025-09-09 00:28:23,research,success
L0000065,U0078,READ,consent,2019-11-09 12:29:27,care,success
L0000066,U0071,READ,patient,2019-09-12 10:56:30,population_health,success
L0000067,U0073,READ,condition,2025-07-01 03:01:38,care,success
L0000068,U0052,SCORE,encounter,2021-10-26 07:59:39,population_health,success
L0000069,U0004,READ,model,2021-07-11 06:39:17,population_health,success
L0000070,U0032,READ,medication,2020-05-21 19:27:56,research,error
L0000071,U0017,READ,outcome,2024-02-15 07:02:30,governance,success
L0000072,U0046,READ,outcome,2018-05-19 19:53:59,care,success
L0000073,U0089,READ,observation,2019-05-11 21:56:58,governance,success
L0000074,U0100,READ,model,2018-12-10 07:42:33,population_health,success
L0000075,U0083,READ,consent,2018-02-05 11:34:21,population_health,error
L0000076,U0002,READ,encounter,2025-08-15 21:17:00,population_health,success
L0000077,U0044,READ,observation,2019-11-18 03:16:59,governance,success
L0000078,U0046,READ,consent,2024-10-23 06:28:44,governance,success
L0000079,U0011,SCORE,observation,2021-03-23 20:35:35,research,success
L0000080,U0095,WRITE,consent,2025-09-08 17:09:54,population_health,success
L0000081,U0091,READ,outcome,2023-03-25 09:03:03,research,success
L0000082,U0092,READ,outcome,2019-02-14 21:09:11,governance,success
L0000083,U0033,READ,model,2019-02-11 03:09:10,population_health,success
L0000084,U0024,READ,medication,2020-08-03 13:16:49,care,success
L0000085,U0053,READ,model,2024-06-28 18:59:22,research,success
L0000086,U0028,READ,patient,2019-09-17 13:23:32,research,success
L0000087,U0093,READ,consent,2019-10-23 18:53:20,research,success
L0000088,U0073,WRITE,medication,2018-03-16 16:04:20,governance,success
L0000089,U0062,SCORE,outcome,2020-02-12 15:59:04,research,success
L0000090,U0083,READ,condition,2021-01-21 22:09:26,care,success
L0000091,U0084,READ,consent,2020-05-28 22:24:02,population_health,success
L0000092,U0010,READ,patient,2023-06-18 03:46:09,governance,success
L0000093,U0073,WRITE,observation,2024-02-07 10:41:31,research,success
L0000094,U0043,ADMIN,condition,2021-04-04 19:14:04,research,success
L0000095,U0069,READ,patient,2021-11-25 12:33:07,research,error
L0000096,U0060,READ,model,2025-03-21 21:21:38,governance,success
L0000097,U0052,READ,medication,2018-08-23 01:04:03,governance,success
L0000098,U0006,READ,encounter,2019-02-21 15:11:47,governance,success
L0000099,U0084,READ,model,2018-07-10 22:19:55,population_health,success
L0000100,U0051,READ,medication,2022-05-12 20:25:09,governance,success
L0000101,U0067,READ,patient,2023-02-28 02:13:27,research,success
L0000102,U0051,READ,patient,2024-09-15 19:13:22,governance,success
L0000103,U0069,READ,consent,2024-09-26 18:57:00,care,success
L0000104,U0083,READ,condition,2024-10-31 21:39:12,care,success
L0000105,U0066,READ,medication,2024-10-02 21:49:40,research,success
L0000106,U0059,SCORE,consent,2024-09-13 09:34:42,research,success
L0000107,U0056,WRITE,patient,2020-12-09 18:51:38,research,success
L0000108,U0013,READ,consent,2020-04-15 08:47:30,governance,success
L0000109,U0096,READ,encounter,2020-08-23 10:39:14,research,success
L0000110,U0036,WRITE,consent,2021-11-10 15:54:06,care,success
L0000111,U0018,READ,medication,2021-03-25 18:53:42,population_health,success
L0000112,U0100,READ,encounter,2025-09-21 15:17:24,governance,success
L0000113,U0003,READ,encounter,2025-06-21 01:51:21,population_health,success
L0000114,U0048,READ,medication,2018-03-02 03:18:01,research,success
L0000115,U0096,SCORE,outcome,2024-08-06 16:12:00,governance,success
L0000116,U0058,READ,consent,2020-02-15 02:01:14,governance,success
L0000117,U0054,READ,encounter,2023-07-30 09:58:12,governance,success
L0000118,U0027,READ,consent,2022-08-03 21:46:44,governance,success
L0000119,U0016,READ,consent,2019-04-24 04:15:44,governance,success
L0000120,U0050,READ,patient,2022-10-27 22:36:27,governance,success
L0000121,U0004,READ,patient,2025-03-31 20:06:04,population_health,success
L0000122,U0056,READ,consent,2020-03-14 18:13:31,governance,denied
L0000123,U0095,READ,condition,2021-10-13 02:49:57,research,success
L0000124,U0100,READ,condition,2020-03-09 23:24:53,governance,success
L0000125,U0058,READ,outcome,2020-05-12 13:21:21,governance,success
L0000126,U0043,READ,outcome,2018-05-10 23:33:53,governance,success
L0000127,U0039,SCORE,encounter,2025-08-22 22:22:46,population_health,success
L0000128,U0091,READ,consent,2024-07-17 19:56:42,care,success
L0000129,U0094,READ,model,2023-12-26 07:58:47,population_health,success
L0000130,U0052,READ,encounter,2025-09-08 20:05:09,care,success
L0000131,U0079,SCORE,medication,2019-03-28 02:42:15,population_health,success
L0000132,U0019,READ,outcome,2020-07-30 17:35:49,governance,success
L0000133,U0087,ADMIN,observation,2018-10-27 16:35:38,care,success
L0000134,U0054,READ,outcome,2022-12-21 01:55:04,governance,success
L0000135,U0023,SCORE,condition,2024-06-25 19:06:58,governance,success
L0000136,U0007,READ,model,2018-04-17 16:14:42,population_health,denied
L0000137,U0081,READ,medication,2021-07-27 20:46:15,population_health,success
L0000138,U0065,ADMIN,observation,2024-09-02 06:55:57,research,success
L0000139,U0051,READ,consent,2021-08-06 21:46:18,research,success
L0000140,U0038,READ,patient,2022-02-07 15:07:32,population_health,success
L0000141,U0057,READ,consent,2021-11-02 10:49:27,care,success
L0000142,U0072,READ,consent,2023-04-14 15:01:23,governance,success
L0000143,U0099,READ,outcome,2018-11-15 20:51:09,governance,success
L0000144,U0047,SCORE,patient,2020-10-03 12:10:59,governance,success
L0000145,U0055,WRITE,consent,2018-05-19 07:56:21,population_health,success
L0000146,U0014,READ,encounter,2022-08-26 03:47:27,care,success
L0000147,U0003,READ,model,2020-04-26 17:36:32,research,success
L0000148,U0011,READ,medication,2024-04-14 00:29:03,governance,success
L0000149,U0066,READ,medication,2018-12-21 06:44:44,care,success
L0000150,U0038,SCORE,medication,2024-09-04 23:17:23,research,success
L0000151,U0078,READ,encounter,2023-04-26 13:31:49,population_health,success
L0000152,U0064,READ,outcome,2022-11-13 12:29:40,care,success
L0000153,U0045,SCORE,observation,2023-05-25 01:03:53,population_health,success
L0000154,U0066,READ,condition,2021-07-05 02:59:45,population_health,success
L0000155,U0009,WRITE,encounter,2025-09-25 18:48:18,governance,success
L0000156,U0080,READ,condition,2020-02-10 16:00:12,care,success
L0000157,U0028,READ,outcome,2025-08-13 16:18:24,research,success
L0000158,U0094,READ,medication,2023-09-18 21:53:03,care,success
L0000159,U0084,READ,condition,2022-03-28 14:20:42,governance,success
L0000160,U0047,SCORE,model,2021-08-23 02:36:18,research,success
L0000161,U0058,READ,patient,2023-04-01 10:46:07,care,success
L0000162,U0081,READ,encounter,2024-04-29 19:30:31,care,success
L0000163,U0085,READ,patient,2018-03-02 14:49:14,care,success
L0000164,U0077,READ,encounter,2021-03-16 15:06:32,care,success
L0000165,U0082,READ,patient,2024-08-02 07:41:43,research,success
L0000166,U0053,READ,medication,2025-09-06 12:20:52,research,success
L0000167,U0098,READ,condition,2024-10-06 22:45:04,population_health,success
L0000168,U0049,READ,condition,2020-12-17 19:12:03,care,success
L0000169,U0099,READ,condition,2023-10-06 20:59:42,care,success
L0000170,U0053,READ,patient,2020-01-20 22:52:07,governance,success
L0000171,U0056,READ,medication,2022-02-18 03:45:45,population_health,success
L0000172,U0058,READ,encounter,2024-05-22 21:42:28,governance,success
L0000173,U0004,WRITE,encounter,2018-10-11 23:43:17,research,success
L0000174,U0026,READ,consent,2021-04-18 00:22:33,governance,success
L0000175,U0061,READ,patient,2019-08-15 12:28:52,research,success
L0000176,U0024,READ,medication,2023-03-24 21:48:08,care,success
L0000177,U0099,READ,patient,2022-07-27 22:01:33,care,success
L0000178,U0025,READ,model,2022-10-11 13:07:08,population_health,success
L0000179,U0089,READ,patient,2022-04-06 23:14:41,research,success
L0000180,U0054,READ,condition,2021-04-25 11:39:51,care,success
L0000181,U0048,READ,encounter,2024-10-30 14:39:44,research,success
L0000182,U0027,READ,consent,2021-03-02 01:05:48,governance,success
L0000183,U0061,SCORE,observation,2019-01-21 15:14:45,research,success
L0000184,U0042,READ,patient,2022-03-21 23:46:12,care,success
L0000185,U0024,READ,patient,2020-10-31 19:21:31,research,success
L0000186,U0032,READ,condition,2018-08-29 02:22:41,population_health,success
L0000187,U0064,READ,encounter,2018-09-16 13:30:06,care,success
L0000188,U0077,WRITE,medication,2021-06-10 07:10:31,research,success
L0000189,U0074,READ,observation,2020-04-14 00:23:04,governance,denied
L0000190,U0054,READ,patient,2024-09-23 10:09:01,governance,success
L0000191,U0060,WRITE,patient,2024-08-14 10:18:52,research,success
L0000192,U0094,WRITE,medication,2023-12-05 10:42:13,population_health,success
L0000193,U0082,READ,encounter,2021-04-15 08:10:19,governance,success
L0000194,U0009,SCORE,patient,2021-06-29 10:32:57,governance,success
L0000195,U0075,READ,consent,2019-09-22 14:03:14,care,success
L0000196,U0079,READ,encounter,2022-09-22 21:53:21,care,success
L0000197,U0094,READ,model,2020-06-18 04:46:26,research,success
L0000198,U0050,SCORE,encounter,2025-01-19 03:42:17,population_health,success
L0000199,U0033,READ,encounter,2020-04-05 08:10:15,research,success
L0000200,U0044,SCORE,patient,2024-02-17 08:02:26,governance,success
L0000201,U0081,READ,model,2022-04-21 02:52:06,governance,success
L0000202,U0071,ADMIN,medication,2020-06-21 21:17:12,care,success
L0000203,U0002,READ,model,2018-04-04 00:15:01,population_health,success
L0000204,U0043,READ,model,2021-04-28 12:19:17,research,success
L0000205,U0094,READ,outcome,2019-01-19 08:25:31,research,success
L0000206,U0003,READ,patient,2019-10-03 17:13:45,governance,success
L0000207,U0030,READ,observation,2020-07-29 19:35:47,care,success
L0000208,U0079,ADMIN,patient,2019-11-06 23:38:19,governance,success
L0000209,U0040,SCORE,medication,2024-09-13 16:31:31,research,success
L0000210,U0094,SCORE,medication,2024-10-30 17:36:41,population_health,success
L0000211,U0068,READ,condition,2020-12-03 21:02:56,population_health,success
L0000212,U0076,READ,medication,2018-07-17 03:32:13,care,success
L0000213,U0079,SCORE,patient,2020-11-21 04:00:38,governance,denied
L0000214,U0015,WRITE,encounter,2019-11-12 00:06:25,population_health,success
L0000215,U0095,READ,outcome,2018-02-28 06:10:37,population_health,success
L0000216,U0073,READ,patient,2022-10-02 11:24:19,care,success
L0000217,U0027,READ,patient,2019-08-13 12:15:34,research,success
L0000218,U0037,READ,outcome,2020-08-23 01:43:10,care,success
L0000219,U0061,WRITE,model,2018-09-24 13:21:42,care,success
L0000220,U0069,READ,consent,2025-04-09 20:19:00,care,denied
L0000221,U0043,SCORE,patient,2019-05-06 22:22:30,governance,success
L0000222,U0083,READ,outcome,2022-01-03 01:00:59,research,success
L0000223,U0060,READ,model,2023-06-09 21:46:28,population_health,success
L0000224,U0026,READ,condition,2020-11-06 19:38:08,population_health,success
L0000225,U0025,READ,model,2023-08-24 08:57:01,governance,success
L0000226,U0019,ADMIN,patient,2018-09-25 01:05:15,population_health,success
L0000227,U0034,READ,patient,2023-03-17 00:42:51,governance,success
L0000228,U0066,READ,condition,2018-12-23 00:06:04,research,success
L0000229,U0085,WRITE,observation,2020-10-09 03:18:09,governance,success
L0000230,U0084,WRITE,condition,2024-11-13 15:34:38,governance,success
L0000231,U0045,SCORE,encounter,2025-02-24 20:30:51,care,success
L0000232,U0096,READ,outcome,2023-03-07 03:34:11,governance,success
L0000233,U0009,READ,patient,2021-10-26 02:01:51,population_health,success
L0000234,U0064,SCORE,outcome,2019-12-18 00:27:15,care,success
L0000235,U0013,WRITE,medication,2022-07-15 12:40:17,care,success
L0000236,U0017,WRITE,condition,2019-02-19 09:26:27,population_health,success
L0000237,U0046,ADMIN,condition,2025-05-02 18:04:51,care,success
L0000238,U0092,SCORE,condition,2018-06-21 05:09:29,research,denied
L0000239,U0056,READ,patient,2024-06-21 19:09:53,population_health,success
L0000240,U0025,SCORE,consent,2024-12-06 05:04:08,care,success
L0000241,U0071,READ,consent,2020-01-16 17:27:26,governance,success
L0000242,U0070,SCORE,model,2024-10-28 00:14:25,care,success
L0000243,U0009,READ,medication,2025-05-12 07:24:10,care,success
L0000244,U0052,READ,encounter,2022-07-18 04:09:30,care,success
L0000245,U0053,ADMIN,observation,2020-12-04 02:44:15,research,success
L0000246,U0033,READ,medication,2025-08-17 17:15:35,population_health,success
L0000247,U0040,SCORE,observation,2023-10-09 13:52:21,research,success
L0000248,U0033,READ,observation,2024-12-17 22:16:18,population_health,success
L0000249,U0082,READ,consent,2025-04-19 09:33:34,population_health,success
L0000250,U0013,SCORE,encounter,2019-04-28 23:16:36,population_health,success
L0000251,U0099,READ,encounter,2020-05-05 06:07:41,governance,success
L0000252,U0049,READ,consent,2018-11-06 01:04:06,population_health,success
L0000253,U0066,READ,consent,2023-04-16 18:00:42,research,success
L0000254,U0086,READ,encounter,2023-01-23 00:14:10,population_health,success
L0000255,U0040,READ,consent,2023-12-18 07:49:44,population_health,success
L0000256,U0055,READ,encounter,2018-03-07 16:08:58,research,error
L0000257,U0010,READ,patient,2021-06-20 02:49:37,governance,success
L0000258,U0057,READ,medication,2018-03-19 13:35:48,care,success
L0000259,U0081,READ,observation,2021-02-09 20:30:33,governance,success
L0000260,U0048,READ,observation,2020-04-22 02:41:32,care,success
L0000261,U0027,READ,observation,2023-09-07 15:04:25,governance,success
L0000262,U0055,READ,condition,2023-07-03 13:42:21,research,success
L0000263,U0066,WRITE,outcome,2023-02-08 17:48:53,care,success
L0000264,U0030,READ,observation,2025-04-05 03:40:49,population_health,success
L0000265,U0057,SCORE,patient,2020-07-09 10:53:47,governance,success
L0000266,U0038,WRITE,model,2019-12-26 17:15:22,governance,success
L0000267,U0038,READ,outcome,2021-11-09 10:43:46,research,success
L0000268,U0018,READ,consent,2019-01-16 08:35:06,population_health,denied
L0000269,U0008,SCORE,observation,2018-08-16 17:19:10,care,success
L0000270,U0023,WRITE,patient,2022-03-02 11:02:37,population_health,success
L0000271,U0050,READ,observation,2019-08-23 16:11:12,governance,success
L0000272,U0077,READ,model,2025-06-07 21:33:19,care,success
L0000273,U0069,READ,model,2025-09-12 18:57:34,research,success
L0000274,U0038,READ,observation,2023-05-24 10:31:41,care,success
L0000275,U0006,READ,consent,2024-03-06 18:10:55,research,success
L0000276,U0017,ADMIN,condition,2020-11-01 01:05:48,care,success
L0000277,U0053,READ,medication,2021-06-08 22:17:10,governance,success
L0000278,U0044,READ,outcome,2024-03-10 19:10:22,governance,success
L0000279,U0005,READ,condition,2020-03-06 09:37:35,population_health,success
L0000280,U0096,WRITE,encounter,2019-10-28 10:32:24,research,success
L0000281,U0095,READ,outcome,2019-04-27 22:58:08,governance,success
L0000282,U0064,READ,observation,2022-09-23 02:55:44,governance,success
L0000283,U0068,SCORE,observation,2019-07-28 06:25:17,research,success
L0000284,U0086,READ,encounter,2021-09-05 02:21:27,population_health,success
L0000285,U0036,READ,outcome,2018-11-01 00:03:56,care,success
L0000286,U0090,READ,outcome,2024-12-30 14:14:27,governance,success
L0000287,U0096,READ,medication,2018-03-15 15:45:20,governance,success
L0000288,U0010,ADMIN,medication,2021-09-04 15:51:48,care,success
L0000289,U0001,READ,outcome,2022-05-15 07:24:23,care,success
L0000290,U0017,SCORE,encounter,2019-04-20 18:44:06,research,success
L0000291,U0099,SCORE,patient,2023-06-13 10:37:26,governance,success
L0000292,U0072,SCORE,encounter,2025-02-15 06:11:17,research,success
L0000293,U0080,READ,medication,2018-01-15 07:40:21,governance,success
L0000294,U0052,READ,encounter,2020-07-02 11:10:55,research,success
L0000295,U0074,SCORE,consent,2018-05-31 01:26:42,population_health,success
L0000296,U0068,READ,model,2018-08-07 08:52:09,care,success
L0000297,U0058,READ,observation,2019-04-28 15:13:17,care,denied
L0000298,U0097,READ,consent,2023-03-09 08:55:45,governance,success
L0000299,U0032,READ,encounter,2019-01-08 17:24:35,governance,success
L0000300,U0034,READ,model,2018-04-26 15:49:02,care,success
L0000301,U0095,READ,consent,2019-06-16 00:05:07,research,success
L0000302,U0028,READ,observation,2023-08-05 00:19:34,care,success
L0000303,U0091,WRITE,medication,2020-12-30 07:11:34,research,success
L0000304,U0093,SCORE,condition,2021-03-12 10:57:44,research,success
L0000305,U0092,READ,encounter,2024-11-10 15:08:57,care,success
L0000306,U0037,READ,outcome,2024-09-16 16:44:31,population_health,success
L0000307,U0033,READ,observation,2019-12-26 12:03:56,governance,success
L0000308,U0059,READ,condition,2018-11-12 21:13:14,research,success
L0000309,U0010,READ,encounter,2025-08-13 21:08:41,research,success
L0000310,U0073,SCORE,model,2021-07-08 11:53:38,population_health,success
L0000311,U0057,WRITE,consent,2021-09-06 16:26:43,care,success
L0000312,U0072,ADMIN,model,2020-11-28 00:33:49,research,success
L0000313,U0029,SCORE,patient,2020-04-09 02:14:31,research,success
L0000314,U0003,READ,condition,2019-03-05 16:17:41,care,success
L0000315,U0085,READ,condition,2018-01-24 05:13:19,population_health,success
L0000316,U0019,WRITE,medication,2023-10-25 18:06:31,governance,success
L0000317,U0019,READ,condition,2019-08-02 06:14:12,care,success
L0000318,U0079,READ,patient,2018-10-30 17:10:20,population_health,success
L0000319,U0093,READ,outcome,2023-02-23 14:04:10,governance,success
L0000320,U0072,WRITE,medication,2020-02-21 16:57:33,population_health,success
L0000321,U0023,SCORE,encounter,2021-08-11 02:25:57,governance,success
L0000322,U0072,READ,medication,2022-02-01 08:58:49,governance,success
L0000323,U0030,READ,model,2020-10-08 08:28:06,governance,success
L0000324,U0062,READ,consent,2023-06-08 13:05:32,governance,success
L0000325,U0042,READ,model,2019-12-21 10:34:46,population_health,success
L0000326,U0033,READ,consent,2023-12-11 10:24:39,care,success
L0000327,U0079,ADMIN,outcome,2022-08-01 12:15:41,governance,success
L0000328,U0069,READ,consent,2020-03-12 09:10:46,care,success
L0000329,U0041,READ,encounter,2023-11-19 09:45:18,governance,success
L0000330,U0045,READ,model,2024-08-29 08:04:24,research,success
L0000331,U0029,WRITE,condition,2021-01-12 06:19:56,governance,success
L0000332,U0034,SCORE,medication,2023-05-19 15:38:43,governance,success
L0000333,U0020,SCORE,model,2019-12-04 01:00:39,care,success
L0000334,U0075,READ,condition,2025-02-19 07:29:45,care,success
L0000335,U0077,READ,outcome,2020-04-29 19:48:01,care,success
L0000336,U0075,READ,consent,2022-01-17 22:15:10,governance,success
L0000337,U0005,READ,patient,2019-01-25 12:54:34,governance,success
L0000338,U0097,ADMIN,condition,2021-04-30 02:32:49,governance,success
L0000339,U0037,READ,condition,2019-01-12 17:00:15,population_health,success
L0000340,U0014,READ,medication,2023-05-01 03:01:04,population_health,error
L0000341,U0037,READ,consent,2022-10-27 05:16:43,research,success
L0000342,U0027,READ,encounter,2018-09-20 18:18:58,care,success
L0000343,U0025,WRITE,outcome,2019-03-17 19:44:40,research,success
L0000344,U0080,WRITE,observation,2022-10-01 08:20:05,research,success
L0000345,U0009,READ,patient,2021-05-13 15:48:09,governance,success
L0000346,U0082,READ,model,2018-02-19 06:23:17,care,success
L0000347,U0094,READ,patient,2022-11-29 15:30:05,governance,success
L0000348,U0007,READ,observation,2021-06-04 12:51:02,population_health,success
L0000349,U0033,SCORE,medication,2020-06-11 12:20:01,population_health,success
L0000350,U0069,READ,encounter,2025-01-16 10:51:03,research,success
L0000351,U0017,READ,model,2019-10-17 12:52:26,care,success
L0000352,U0018,READ,consent,2020-06-18 21:05:32,care,success
L0000353,U0085,SCORE,model,2020-12-27 15:57:27,governance,error
L0000354,U0038,READ,patient,2021-09-28 18:58:27,governance,success
L0000355,U0085,READ,patient,2020-11-05 19:23:08,governance,success
L0000356,U0022,READ,consent,2018-05-16 06:29:45,care,success
L0000357,U0019,READ,condition,2024-08-07 19:02:10,population_health,success
L0000358,U0073,ADMIN,outcome,2021-09-16 08:53:10,population_health,success
L0000359,U0100,SCORE,medication,2021-05-11 18:15:44,care,success
L0000360,U0041,WRITE,consent,2022-10-29 15:21:59,research,success
L0000361,U0092,READ,medication,2019-08-16 06:34:30,care,success
L0000362,U0054,SCORE,consent,2023-11-17 10:27:14,research,success
L0000363,U0079,READ,outcome,2018-12-25 09:05:22,research,success
L0000364,U0069,READ,consent,2024-05-05 06:18:33,population_health,success
L0000365,U0037,READ,patient,2020-06-15 15:37:36,population_health,success
L0000366,U0035,READ,outcome,2025-06-28 02:08:14,population_health,success
L0000367,U0051,READ,model,2025-01-05 18:19:20,governance,success
L0000368,U0061,READ,condition,2021-03-07 06:05:56,governance,success
L0000369,U0039,SCORE,model,2018-12-12 20:06:37,care,success
L0000370,U0064,ADMIN,medication,2019-11-05 23:22:22,population_health,success
L0000371,U0071,READ,patient,2025-07-14 00:57:17,population_health,success
L0000372,U0100,SCORE,patient,2022-12-28 23:46:23,governance,success
L0000373,U0037,READ,model,2020-05-26 11:31:47,governance,success
L0000374,U0004,ADMIN,consent,2020-09-02 19:19:58,research,success
L0000375,U0025,READ,encounter,2025-02-10 16:29:42,research,success
L0000376,U0062,ADMIN,model,2020-09-20 06:11:52,governance,error
L0000377,U0072,SCORE,patient,2018-04-12 16:54:16,care,success
L0000378,U0077,READ,model,2021-04-09 13:35:07,governance,success
L0000379,U0008,READ,consent,2018-12-24 19:35:54,research,success
L0000380,U0012,READ,consent,2019-02-25 22:09:54,population_health,success
L0000381,U0064,READ,outcome,2020-07-20 05:41:17,research,success
L0000382,U0032,SCORE,model,2024-08-20 00:08:32,research,success
L0000383,U0096,SCORE,condition,2024-08-05 09:44:11,care,success
L0000384,U0024,READ,encounter,2022-07-24 16:08:20,population_health,success
L0000385,U0046,WRITE,model,2018-05-09 04:41:54,care,success
L0000386,U0046,SCORE,patient,2023-11-25 20:06:35,population_health,success
L0000387,U0077,ADMIN,outcome,2022-07-31 02:16:05,governance,success
L0000388,U0003,READ,patient,2019-02-02 21:58:29,research,success
L0000389,U0083,READ,outcome,2019-08-26 21:01:39,research,denied
L0000390,U0054,SCORE,encounter,2019-12-15 09:20:21,population_health,success
L0000391,U0067,SCORE,encounter,2018-06-29 08:38:28,research,success
L0000392,U0068,READ,condition,2021-05-01 23:26:15,research,success
L0000393,U0073,READ,model,2018-03-27 02:22:03,care,success
L0000394,U0002,READ,condition,2018-06-03 08:02:54,research,success
L0000395,U0098,READ,medication,2024-03-28 16:51:03,population_health,success
L0000396,U0089,READ,encounter,2024-07-01 04:51:09,research,success
L0000397,U0039,READ,outcome,2021-01-23 17:44:10,research,success
L0000398,U0043,SCORE,outcome,2022-08-18 23:09:27,population_health,success
L0000399,U0060,READ,observation,2020-05-30 14:53:33,research,success
L0000400,U0061,READ,encounter,2021-02-22 13:25:06,governance,success
L0000401,U0058,READ,patient,2023-01-14 23:07:45,governance,success
L0000402,U0088,WRITE,model,2024-07-27 18:11:21,research,success
L0000403,U0068,READ,consent,2018-07-29 19:57:10,population_health,error
L0000404,U0068,READ,condition,2018-03-29 18:32:27,governance,success
L0000405,U0083,SCORE,model,2020-10-05 23:41:51,governance,success
L0000406,U0072,READ,condition,2018-01-19 02:50:56,care,success
L0000407,U0043,SCORE,condition,2019-12-16 19:00:30,research,denied
L0000408,U0083,SCORE,outcome,2024-10-22 12:52:04,governance,success
L0000409,U0009,READ,model,2020-05-14 20:08:05,governance,success
L0000410,U0022,READ,outcome,2025-08-02 07:13:41,care,success
L0000411,U0054,READ,outcome,2018-04-11 21:05:42,care,success
L0000412,U0095,READ,model,2018-09-22 23:01:27,governance,success
L0000413,U0068,READ,encounter,2021-05-14 11:12:34,population_health,success
L0000414,U0029,READ,observation,2020-11-09 00:46:22,care,success
L0000415,U0093,READ,encounter,2020-08-18 05:12:10,care,success
L0000416,U0038,SCORE,model,2019-02-16 01:32:32,population_health,success
